	n_cci_sig_cpdb	ccis_cpdb	ps_cpdb
NOTCH4_JAG2	27	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	1.5686362358410126,3.0,1.3979400086720375,2.6989700043360187,1.3187587626244128,3.0,2.154901959985743,3.0,3.0,3.0,3.0,2.3010299956639813,3.0,3.0,1.408935392973501,3.0,1.3279021420642825,3.0,2.5228787452803374,2.154901959985743,3.0,1.6382721639824072,3.0,2.3979400086720375,1.3098039199714864,2.0969100130080562,3.0
NOTCH3_JAG2	27	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,basal_like_2--basal_like_1,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.4814860601221125,1.6382721639824072,1.9208187539523751,1.6197887582883939,3.0,3.0,1.6020599913279623,2.3979400086720375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NOTCH1_WNT4	21	Bcell--basal_like_2,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_1--basal_like_2,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar	1.3279021420642825,1.8860566476931633,2.6989700043360187,3.0,3.0,2.5228787452803374,1.408935392973501,1.3467874862246563,3.0,3.0,3.0,3.0,2.0457574905606752,3.0,1.853871964321762,1.853871964321762,2.3979400086720375,2.5228787452803374,3.0,3.0,3.0
FZD6_WNT4	9	basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_1--mesenchymal,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--mesenchymal	3.0,3.0,3.0,1.6575773191777938,1.3565473235138126,1.6777807052660807,2.0969100130080562,1.9586073148417749,1.5086383061657274
NOTCH1_JAG1	32	Bcell--Bcell,Bcell--endothelial,Bcell--stroma,Tcell--Bcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	1.3279021420642825,3.0,3.0,2.5228787452803374,2.6989700043360187,3.0,1.3187587626244128,1.853871964321762,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,1.9208187539523751,3.0,3.0,1.9586073148417749,2.3010299956639813,3.0,3.0,3.0,1.744727494896694,2.221848749616356,3.0,3.0,3.0,3.0,1.7212463990471711,2.5228787452803374,3.0,3.0
CD46_JAG1	24	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--stroma	2.221848749616356,1.3098039199714864,3.0,3.0,1.3665315444204136,2.0,3.0,3.0,3.0,3.0,2.3979400086720375,2.3010299956639813,3.0,3.0,1.8860566476931633,3.0,3.0,3.0,1.3098039199714864,1.337242168318426,3.0,3.0,1.853871964321762,3.0
NOTCH1_NOV	7	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,macrophage--endothelial,stroma--endothelial	1.6020599913279623,3.0,1.4814860601221125,1.4436974992327127,3.0,3.0,2.6989700043360187
NOTCH1_DLK1	0		
FZD9_WNT7A	0		
FZD9_WNT2	0		
CCL2_CCR2	17	Tcell--Bcell,Tcell--Tcell,Tcell--macrophage,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--macrophage,mesenchymal--Bcell,mesenchymal--Tcell,stroma--Bcell,stroma--Tcell,stroma--macrophage	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8239087409443189,1.4436974992327127,3.0,3.0,3.0
CCL3_CCR3	0		
CCL5_CCR3	0		
CCL3L1_CCR3	0		
CCL11_CCR3	0		
CCL3_CCR1	19	Tcell--Tcell,Tcell--macrophage,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--stroma,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Tcell,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage	3.0,2.6989700043360187,3.0,3.0,3.0,3.0,1.3187587626244128,2.221848749616356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCL5_CCR1	28	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--basal_like_1,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--macrophage,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Tcell,endothelial--macrophage,macrophage--Tcell,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_1,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.9586073148417749,1.9208187539523751,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3010299956639813,2.3979400086720375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCL3L1_CCR1	7	luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage	3.0,3.0,3.0,3.0,1.6382721639824072,3.0,3.0
CCL2_ACKR1	31	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	2.3979400086720375,3.0,3.0,1.4436974992327127,3.0,3.0,3.0,2.3979400086720375,3.0,3.0,3.0,3.0,3.0,1.6777807052660807,3.0,3.0,3.0,1.3979400086720375,3.0,3.0,1.6575773191777938,3.0,3.0,3.0,3.0,3.0,3.0,1.744727494896694,3.0,3.0,3.0
CCL5_ACKR1	38	Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--endothelial,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3767507096020994,3.0,3.0,1.8860566476931633,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.744727494896694,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5528419686577808,3.0,3.0,3.0
CXCL1_ACKR1	0		
CXCL8_ACKR1	3	mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma	3.0,3.0,3.0
CXCL5_ACKR1	0		
CCL8_ACKR1	21	Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--stroma,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--stroma,stroma--basal_like_2,stroma--endothelial,stroma--stroma	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCL7_ACKR1	0		
CCL2_CCR10	0		
CCL5_ACKR4	0		
CCL11_ACKR4	0		
CCL21_ACKR4	0		
CCL25_ACKR4	0		
CXCL13_ACKR4	0		
CCL19_ACKR4	0		
CCL5_CCR4	0		
CCL22_CCR4	0		
CCL3L1_DPP4	0		
CCL22_DPP4	0		
CXCL11_DPP4	0		
VIP_DPP4	0		
CXCL10_DPP4	0		
PYY_DPP4	0		
ADCYAP1_DPP4	0		
CXCL2_DPP4	0		
CXCL11_CXCR3	22	Bcell--Tcell,Bcell--macrophage,Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,endothelial--Tcell,luminal_ar--Tcell,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,mesenchymal--macrophage,stroma--Tcell,stroma--macrophage,stroma--stroma	3.0,2.0,3.0,3.0,1.494850021680094,3.0,3.0,2.5228787452803374,3.0,3.0,1.4559319556497243,1.9586073148417749,3.0,1.5228787452803376,2.5228787452803374,3.0,3.0,3.0,1.9208187539523751,3.0,3.0,2.221848749616356
CXCL10_CXCR3	18	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell	1.853871964321762,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CXCL12_CXCR3	32	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_1,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--endothelial,stroma--macrophage,stroma--stroma	2.154901959985743,1.5086383061657274,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CXCL1_CXCR2	0		
CXCL8_CXCR2	0		
CXCL2_CXCR2	0		
CXCL3_CXCR2	0		
CALCA_CALCR	0		
CALCA_CALCR	0		
CCL21_CCR7	19	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,basal_like_1--Tcell,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,macrophage--Tcell,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage	1.6575773191777938,2.3010299956639813,3.0,2.3979400086720375,2.5228787452803374,1.7212463990471711,1.8239087409443189,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0
CXCL13_CXCR5	5	Bcell--Tcell,Tcell--Tcell,basal_like_1--Tcell,luminal_ar--Tcell,macrophage--Tcell	1.9586073148417749,3.0,3.0,3.0,3.0
CXCL11_ACKR3	10	Bcell--luminal_ar,Tcell--luminal_ar,basal_like_1--luminal_ar,endothelial--luminal_ar,luminal_ar--luminal_ar,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--stroma,mesenchymal--luminal_ar,stroma--luminal_ar	3.0,3.0,3.0,3.0,3.0,2.3010299956639813,3.0,1.7212463990471711,3.0,3.0
VIP_AVPR1A	0		
AVP_AVPR1A	0		
VIP_VIPR1	0		
ADCYAP1_VIPR1	0		
GHRH_VIPR1	0		
SCT_VIPR1	0		
VIP_VIPR2	0		
ADCYAP1_VIPR2	0		
PYY_NPY5R	0		
PPY_NPY5R	0		
PYY_NPY1R	0		
ADCYAP1_ADCYAP1R1	0		
LGALS9_MET	15	Bcell--endothelial,Bcell--mesenchymal,Tcell--endothelial,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_2--endothelial,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,stroma--endothelial,stroma--luminal_ar,stroma--mesenchymal	2.0969100130080562,1.3098039199714864,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
LGALS9_LRP1	49	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,2.3010299956639813,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3010299956639813,1.3979400086720375,3.0,3.0,3.0,3.0,3.0,1.9586073148417749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,1.4436974992327127,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.154901959985743,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PDGFB_LRP1	54	Bcell--Bcell,Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,3.0,3.0,1.9208187539523751,3.0,3.0,3.0,3.0,3.0,1.5228787452803376,3.0,3.0,3.0,3.0,3.0,1.585026652029182,3.0,3.0,3.0,2.6989700043360187,3.0,1.5228787452803376,3.0,3.0,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,3.0,3.0,3.0,1.9586073148417749,3.0,3.0,3.0,2.6989700043360187,3.0,1.744727494896694,3.0,3.0,3.0,3.0,3.0,1.9586073148417749,3.0,3.0,3.0,3.0,3.0,1.8239087409443189,3.0,3.0
MDK_LRP1	39	Bcell--Bcell,Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--macrophage,Tcell--stroma,basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--macrophage,macrophage--stroma,mesenchymal--Bcell,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	3.0,1.4814860601221125,3.0,3.0,1.7695510786217261,2.0969100130080562,3.0,3.0,3.0,3.0,1.853871964321762,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0457574905606752,2.5228787452803374,3.0,2.154901959985743,3.0,3.0,3.0,2.221848749616356,1.431798275933005,3.0,3.0,2.0457574905606752,2.3979400086720375,3.0,3.0,3.0,3.0,2.6989700043360187,3.0,3.0
WNT3A_LRP1	6	basal_like_1--Bcell,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma	3.0,3.0,3.0,1.7958800173440752,3.0,3.0
LGALS9_CD47	43	Bcell--Bcell,Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.3665315444204136,1.4559319556497243,2.154901959985743,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3767507096020994,2.5228787452803374,2.5228787452803374,3.0,3.0,3.0,2.221848749616356,2.5228787452803374,3.0,3.0,3.0,2.6989700043360187,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SIRPA_CD47	19	Bcell--mesenchymal,Tcell--Bcell,Tcell--basal_like_1,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,macrophage--Bcell,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--luminal_ar,stroma--mesenchymal	1.494850021680094,1.6989700043360187,2.6989700043360187,3.0,2.0,3.0,1.408935392973501,2.5228787452803374,2.6989700043360187,2.3979400086720375,2.0457574905606752,3.0,3.0,2.5228787452803374,3.0,1.6382721639824072,1.6020599913279623,2.154901959985743,1.9586073148417749
LGALS9_PTPRK	35	Bcell--endothelial,Bcell--mesenchymal,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--mesenchymal,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.3665315444204136,1.6777807052660807,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.8239087409443189,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BMP7_PTPRK	0		
WNT5A_PTPRK	0		
LGALS9_SLC1A5	30	Bcell--basal_like_1,Bcell--luminal_ar,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--basal_like_1,basal_like_2--luminal_ar,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--mesenchymal,stroma--stroma	2.3010299956639813,1.7695510786217261,3.0,3.0,1.7695510786217261,3.0,1.6989700043360187,3.0,3.0,3.0,1.853871964321762,3.0,2.0969100130080562,1.3467874862246563,3.0,3.0,2.3010299956639813,1.408935392973501,3.0,3.0,2.0969100130080562,3.0,2.6989700043360187,3.0,3.0,3.0,2.5228787452803374,3.0,3.0,2.6989700043360187
LGALS9_COLEC12	38	Bcell--basal_like_1,Bcell--luminal_ar,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_1--luminal_ar,basal_like_2--basal_like_1,basal_like_2--luminal_ar,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--luminal_ar,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,mesenchymal--luminal_ar,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	1.6020599913279623,3.0,2.221848749616356,2.221848749616356,3.0,3.0,3.0,2.221848749616356,3.0,3.0,3.0,1.7212463990471711,3.0,1.5228787452803376,1.8239087409443189,3.0,3.0,3.0,1.7695510786217261,2.0457574905606752,2.221848749616356,1.3979400086720375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5528419686577808,3.0,3.0,3.0,1.6382721639824072,3.0,3.0
LGALS9_HAVCR2	34	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--stroma	1.9586073148417749,2.3010299956639813,1.4436974992327127,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3979400086720375,3.0,1.5086383061657274,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
