	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
SELE_CD44	12	Bcell--Tcell,Bcell--macrophage,Bcell--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma	0.021185538690649833,0.017270565335440018,0.01724950054700617,0.05252315456325959,0.09087565371558863,0.04857128212610196,0.05221249995350432,0.05820754661137253,0.05471088072288029,0.07408232274917692,0.07399196505531515,0.05403775741842372
SELPLG_SELL	21	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--Tcell,stroma--Tcell,stroma--endothelial,stroma--macrophage	0.0474448878364697,0.01612236989185176,0.0193444659166151,0.02425695787246232,0.08111712472034333,0.02756461968700396,0.03307347800705132,0.020060226424509258,0.019171935899823783,0.04127203928172528,0.01682764136668135,0.030015027609263268,0.02373998865236383,0.07938834005889513,0.026977156905528,0.032368609316544165,0.0196326987986543,0.01526914385023496,0.04505420848889918,0.01530998696732695,0.01836972622883181
SEMA3C_NRP1	18	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,luminal_ar--Bcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--endothelial	0.03026864305062141,0.01584034432813987,0.02290041035648036,0.028282617789748,0.0293418088333777,0.01535530860613248,0.024644734722822692,0.015138308758622359,0.01642671794330716,0.042128938409244684,0.02040118852577423,0.0220471360234212,0.02611876391077764,0.015739978765852033,0.040367686246148386,0.01954829171001041,0.021125428345099832,0.0285140013966474
SEMA3C_PLXND1	17	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,mesenchymal--Tcell,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--endothelial	0.02109045241451366,0.01595644753841283,0.01970663843948934,0.0204446569316362,0.01717185022370317,0.01785260183572705,0.018216015299029182,0.02935441702187276,0.020208675373327517,0.018808537524481982,0.018198917819504418,0.01710625182579726,0.01745447234162653,0.02812721946056752,0.01936382680703245,0.0180222234455969,0.01986786089477579
SEMA4A_LILRB2	21	Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,basal_like_2--macrophage,basal_like_2--stroma,endothelial--macrophage,luminal_ar--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--macrophage	0.023054249359368083,0.02418615413842262,0.0184351759034266,0.015117208777363918,0.02526486340484841,0.043792492077772215,0.027854653237106942,0.02333477697683774,0.02442471618957714,0.015535585384526332,0.016739858336336483,0.02287310282109217,0.02206274346605499,0.01681666933821277,0.0230467480202061,0.03994775328567995,0.02540916861725949,0.015334728472075091,0.02658023375654842,0.01690662392391451,0.0224226081704236
SEMA4A_PLXNB1	18	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma	0.01714713959233224,0.01790886425573212,0.023822953098690182,0.021040300559490032,0.01945858394058956,0.02152332565423737,0.018797648512259332,0.019402447032419768,0.0209889200304361,0.01564171549710193,0.01633656494460713,0.0217314294704375,0.019193078446286482,0.01775022780541677,0.0196336966070774,0.01714731885513799,0.017699019407552467,0.01914620884373706
SEMA4B_DCBLD2	19	basal_like_1--mesenchymal,basal_like_1--stroma,basal_like_2--stroma,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--stroma	0.016534822979526718,0.01754973045313437,0.01524882218284309,0.01659128538812667,0.01682015463527568,0.01583388209937159,0.01937741600729821,0.02056680184767655,0.01743546627411412,0.017675980613208308,0.01663952556258595,0.02036335795395984,0.02161326091335718,0.0184196257733879,0.01867371614582756,0.01757875752164981,0.02151278475175394,0.02283323953071963,0.015040047003540941
SEMA4C_PLXNB2	10	basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_1--stroma,endothelial--Bcell,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--stroma	0.015739647212607982,0.015988227443089517,0.015962812247049568,0.015014057596825659,0.01586908632645129,0.01611971082160521,0.01609408661703991,0.015390444200658741,0.01563350937962593,0.01560865805029065
SEMA4D_PLXNB1	12	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,endothelial--basal_like_1,endothelial--luminal_ar,macrophage--basal_like_1	0.02585236453547227,0.02700080002629194,0.03591734146109142,0.031721997541973336,0.02933727824792182,0.03245024383412888,0.028340800465980732,0.02925264186842045,0.03164453225046073,0.0167941937316594,0.01517305177445575,0.01592151203276058
SEMA7A_ITGB1	16	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma	0.025082025978768033,0.026985860878513918,0.025299716282963108,0.02455960662366851,0.03546032865032716,0.02610776246477406,0.02936767577097495,0.02427012947024582,0.032107166231946135,0.01859613551768865,0.015401021345907718,0.0168376672485442,0.015048616239808181,0.019774387780273583,0.01637683098279028,0.0179045028560487
SERPINA1_LRP1	26	Bcell--Bcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--macrophage,endothelial--stroma,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--stroma	0.016047638620164468,0.015433568250986119,0.02425757621726523,0.02418096386266201,0.020672195942450792,0.01697604519988918,0.01811535072836659,0.02325566801336645,0.03655189325913722,0.01627464644214693,0.01685903636333956,0.01621391748144882,0.02548408331051787,0.01658395587896401,0.015949363079981318,0.02506827223864854,0.01547661673093961,0.0295899366717881,0.02529630217711986,0.020773369715744408,0.02216752334125475,0.028457663957647,0.04472808498927891,0.01951781926915909,0.015459994465176,0.02336929456937521
SERPINE1_LRP1	18	Bcell--stroma,Tcell--stroma,basal_like_2--Bcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02158707870606558,0.02246046265009916,0.016347484711929358,0.0157219405923367,0.02471082292829824,0.03626746011499003,0.031004886574838013,0.02546126968693425,0.02717004019118384,0.03487966885491086,0.05482181514484905,0.02138603361443014,0.03536382352016234,0.03023237176297432,0.024826879107419108,0.02649307404792902,0.03401061033543263,0.05345588000070894
SERPINE2_LRP1	26	Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.0215484343824583,0.02257668382060895,0.01930070423665105,0.01584977369715452,0.01691349228329506,0.0217127764946349,0.03412686697863261,0.01545968734349868,0.02336883032490461,0.02192143759038894,0.01874053721689979,0.0153897635137537,0.01642260964762791,0.02108260356672544,0.0331363981784027,0.02006911984156193,0.0171569992045645,0.01503493189123405,0.0193011656196425,0.03033643863081513,0.040443129668771866,0.034574647470101236,0.028392763877463912,0.030298274405590887,0.038895554467569066,0.061133748311869636
SERPINF1_PLXDC1	23	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02511719617854667,0.015566507329970659,0.022813061007740568,0.0190024953975884,0.01713015090000906,0.03228791172953525,0.020010593978501082,0.02932596834703905,0.02160730338299556,0.01962514951051988,0.02545013526823622,0.01577284798771146,0.02311545780836104,0.02135280970177361,0.01924888519520336,0.0362814262234173,0.02248559446022108,0.032953136329349215,0.022292569102044232,0.02009604868607734,0.037878209589395084,0.02347520889784287,0.03440343818968625
SERPINF1_PLXDC2	27	Bcell--Bcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01845908605707661,0.02314869828992305,0.02181966270582368,0.02372897583719356,0.01676477466071296,0.01836159900096937,0.01731967709347431,0.029757426813311068,0.02804896447859139,0.01587960175860504,0.019913884627736318,0.01877056931227289,0.01870376907283429,0.02345554410509122,0.022108891590567382,0.02666388255165061,0.01883831757531964,0.02063264434931705,0.01946185284276183,0.03343795952397525,0.03151818686503558,0.02783738780110468,0.019667411557514367,0.02154070852215986,0.020318389261673942,0.03490959895819518,0.03290533510452197
SERPING1_LRP1	27	Bcell--Bcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01739157577475985,0.01672607902415501,0.02628906874588235,0.02133239200622841,0.01823696482814137,0.01598132172326439,0.02051609808630789,0.032245998133173415,0.022564136009563692,0.02589443311271575,0.02213703300517719,0.01817897208083322,0.01939900908885585,0.024903570564177958,0.03914196971293344,0.024481765177467092,0.02092934961732968,0.0171872202690601,0.01834069829301275,0.0235449590257025,0.03700658388327485,0.027124599018120532,0.02318869623839995,0.01904259985564497,0.0203205971180616,0.026086663598018117,0.041001485864595864
SERPING1_SELE	13	Bcell--endothelial,Tcell--Bcell,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--Bcell,endothelial--endothelial,luminal_ar--endothelial,macrophage--Bcell,macrophage--endothelial,mesenchymal--endothelial,stroma--Bcell,stroma--endothelial	0.06371646426212907,0.01821982720586908,0.07815419433489199,0.03125272565522333,0.054688394615894184,0.02211623041475455,0.09486786840838912,0.02419973779697173,0.02090968190992736,0.08969236233715906,0.023266562673717833,0.02316690538006002,0.09937475283124676
SERPING1_SELP	9	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--endothelial,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--endothelial	0.07516877298677761,0.09220152059529382,0.036870047125195315,0.06451801065077016,0.11191928721581901,0.028549365032505433,0.1058135428769698,0.02744846230965185,0.1172362327805588
SERTAD1_AR	21	Tcell--basal_like_1,Tcell--stroma,basal_like_1--basal_like_1,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--basal_like_1,basal_like_2--stroma,endothelial--Bcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_1,macrophage--stroma,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_1,stroma--basal_like_2,stroma--macrophage,stroma--stroma	0.01531595414505954,0.01681706537221801,0.01532144541599888,0.0168230948406722,0.016116087696961368,0.01682187738601678,0.01847058361527761,0.020779074842387182,0.021689075895225368,0.01672886156471054,0.01662415699368644,0.02381481452206221,0.015948930323156668,0.01664739950409005,0.01827900521809924,0.01639298010229678,0.01914963718619535,0.01998827846994295,0.015417030446842159,0.01532053651907799,0.021947322545070317
SFRP2_FZD5	26	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--endothelial,Bcell--mesenchymal,Bcell--stroma,Tcell--basal_like_2,Tcell--endothelial,Tcell--mesenchymal,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--mesenchymal,endothelial--basal_like_2,endothelial--endothelial,endothelial--mesenchymal,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01566317662875464,0.0232500220447836,0.02501516800508809,0.0238808662190252,0.015953870952991608,0.02154683652533116,0.02318267632697825,0.022131468069729668,0.01913321510173185,0.02058581231989389,0.01965235771837926,0.01915698987009479,0.02061139207305436,0.01967677756888823,0.01642959032792762,0.02438766709747895,0.02623918327993452,0.02504937905982265,0.01673450859393883,0.01935490726371457,0.02869921272341294,0.04260038332596763,0.04583461228241395,0.02309189857550896,0.043756261956528986,0.029231844031001587
SIGLEC1_SPN	24	Bcell--Tcell,Bcell--macrophage,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--macrophage,endothelial--Tcell,endothelial--macrophage,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.028179313252195637,0.01877229549418575,0.016036711141522258,0.03972869038482711,0.02032582120136075,0.02646617782436129,0.01804439098212895,0.015821435376355168,0.03261981274140754,0.016688807886225617,0.02173043602114736,0.02759159626089206,0.0183807743478411,0.023261977266564492,0.05762826831552584,0.01779531651583099,0.02948352605080512,0.03839039198561666,0.026174207985106918,0.01686628194129246,0.041783835056668814,0.02137726545331467,0.02783525955881795,0.01897781802501264
SIRPA_CD47	15	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,basal_like_2--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal	0.019133490748743667,0.01605177601623444,0.01800223923462555,0.016468002509650068,0.019661538845118582,0.01807770181857497,0.02033000493975463,0.015380938403035341,0.0198612230856982,0.0166622969413475,0.01868694501051691,0.01709435439225715,0.02040935521588825,0.01876527777447119,0.02110324606963452
SLIT1_GPC1	18	basal_like_2--mesenchymal,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.016671248266258758,0.02315822647258185,0.01995097786418857,0.02012767217468464,0.02611786262022369,0.02392144199887405,0.02490550066279244,0.02031024911087904,0.029246438796524863,0.02498800404408008,0.01736252842395015,0.0150904163863612,0.01958147065593934,0.01793473766823479,0.01867252069938987,0.01522730067013768,0.02192707310748434,0.01873437635592621
SLIT1_SDC1	18	basal_like_1--basal_like_1,basal_like_2--Bcell,basal_like_2--basal_like_1,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.01587040072602651,0.01645705761400997,0.01791155469229595,0.028870683262102133,0.01850533807237571,0.0314223134160307,0.025264131920308592,0.019470720222549018,0.019609735186594708,0.021218973969035833,0.022577796922760858,0.025786680773071658,0.02164535610490664,0.02355840204248935,0.01894139903554888,0.01590860332507014,0.01692736018821332,0.01933317209812528
SLIT2_APP	23	Tcell--endothelial,Tcell--luminal_ar,Tcell--mesenchymal,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.02835491350134113,0.01994864053466745,0.0203801927259543,0.0176044890338154,0.01779634438534473,0.0164545643081368,0.02220292232924904,0.02079416468919203,0.043456415065554935,0.03057305757702488,0.02002200860070201,0.031234449513421518,0.02698043788545883,0.020677571190955018,0.02059386549207216,0.01904116242948601,0.02569314158451665,0.02406293232793729,0.05028760667076518,0.035379031883711866,0.023169396089205967,0.0361443922454112,0.031221665343131286
SLIT2_SDC1	24	Tcell--Bcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--mesenchymal,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_1,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.02032450733181098,0.02212081486290663,0.017785551861884283,0.015894414237683,0.01815341804270147,0.031149106717335513,0.01996574674813679,0.033902107027245915,0.02725793269809975,0.02100731515667641,0.02115730093675145,0.022893538008554083,0.02435959687565082,0.02782172018563401,0.01613140960941579,0.03604563386980009,0.023104290076478042,0.03923139589228691,0.03154278133878381,0.02430958927960656,0.02448315228298002,0.02649231955603513,0.028188837585732998,0.03219519418453403
SLPI_PLSCR1	9	mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma	0.03736258980515622,0.03996306925907441,0.041342794612098284,0.033729749128360915,0.0488715255844217,0.04038751481446931,0.047669397154875864,0.045527975629093484,0.0413935786949223
SPN_SIGLEC1	24	Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--macrophage,endothelial--Tcell,endothelial--basal_like_2,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--macrophage,stroma--stroma	0.016036711141522258,0.023261977266564492,0.01686628194129246,0.028179313252195637,0.03972869038482711,0.015821435376355168,0.03261981274140754,0.02759159626089206,0.05762826831552584,0.041783835056668814,0.01779531651583099,0.02032582120136075,0.016688807886225617,0.02948352605080512,0.02137726545331467,0.01877229549418575,0.02646617782436129,0.02173043602114736,0.0183807743478411,0.03839039198561666,0.02783525955881795,0.01804439098212895,0.026174207985106918,0.01897781802501264
SPON1_APP	26	Bcell--endothelial,basal_like_2--endothelial,basal_like_2--luminal_ar,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--mesenchymal,endothelial--stroma,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01727348032288213,0.02515587594450465,0.01769800943063629,0.018080873352512742,0.01561832809612015,0.01628416725362697,0.015250949882943631,0.0318719995808077,0.0224230295299096,0.022908110581528418,0.019788114221528482,0.016499746813159008,0.015452851092075332,0.032293940201044535,0.02271987902513663,0.02321138187025687,0.02005008112971634,0.01780490995431842,0.01646248406415306,0.02221360883084233,0.02080417314081776,0.04347733109822621,0.03058777271333278,0.02003164540542705,0.03124948298467097,0.02699342385587186
SPON2_ITGA5	23	Bcell--Tcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--stroma,Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.015106229402437681,0.01814171585552854,0.04057559683842446,0.02162140200704735,0.01710539115987449,0.038257762440651814,0.02038630423388171,0.016209439610540742,0.02954875207306018,0.01574555883730571,0.01548990791542587,0.01860249176307435,0.04160616404641767,0.02217055740180424,0.01723509285796326,0.03854785208006733,0.020540883468707468,0.01986388308739102,0.01760137887760153,0.02113824739159731,0.04727761204411951,0.01581083267680219,0.02519268564328587
SPON2_ITGAM	22	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--macrophage,macrophage--stroma,mesenchymal--macrophage,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.023623491694910667,0.01573816752538074,0.03239706049980343,0.01887472049705004,0.02227402684627269,0.03054641560326167,0.01779652375257288,0.01720355961669735,0.02359281891568089,0.02422349755498517,0.01613789644200388,0.03321990355789622,0.01935411376590954,0.02244291974548994,0.030778033923897462,0.01793146596635871,0.01586006053603664,0.027525467584048318,0.01630178679873483,0.0183376964610831,0.03774819785840145,0.02199232500889992
SPON2_ITGB1	24	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.015352283157177132,0.020173416321131,0.01670730002403415,0.018265798878399082,0.01902103306831275,0.01575291468636876,0.01722238608248284,0.01574221111443223,0.020685794769106532,0.015229972106361641,0.01713164364139207,0.018729726332795783,0.019165260128968933,0.01587236122609259,0.01735297489504846,0.01662608222512586,0.01788807420348654,0.01677038224699108,0.016279786947334732,0.02350553102725412,0.017306010520076368,0.01946690401095936,0.01608790169216535,0.02128282564733795
SPON2_ITGB2	22	Bcell--Bcell,Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--macrophage,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01720327570906921,0.03001041448017665,0.029500356595269568,0.01568658021826332,0.01622055832966428,0.0282961039981754,0.02781518258451237,0.021854769028184867,0.02148332473263834,0.01764021646157205,0.03077263984397627,0.030249627154424988,0.016084998884607817,0.01634355077921671,0.02851065932190684,0.028026091319667358,0.0200448017585582,0.03496734105297046,0.01580551664682165,0.0164346269667819,0.034373035098613065,0.01827758829552709
SPP1_CD44	18	basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--mesenchymal,macrophage--Tcell,macrophage--macrophage,macrophage--mesenchymal,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Tcell,stroma--macrophage,stroma--mesenchymal	0.021470584831221558,0.01750293648569696,0.017481588275787132,0.02211612495549053,0.01802918427460759,0.01800719420392935,0.02188135392942996,0.03785915676721505,0.020234988241754882,0.02175193399031192,0.024249494139450833,0.02279276930037226,0.03086298866601055,0.03082534529336705,0.0225123434694138,0.0217008092952651,0.01769061670974693,0.017669039587573033
